"user_id","book_id","user_rating","avg_rating"
"2636606","34475294","liked it","2.75"
"2636606","34570464","really liked it","3.00"
"2636606","26158710","liked it","3.76"
"2636606","34848502","liked it","4.00"
"2636606","35231671","liked it","4.50"
"2636606","34431749","liked it","3.65"
"2636606","34138396","liked it","3.00"
"2636606","35297202","liked it","3.60"
"2636606","35297199","liked it","4.00"
"2636606","34615091","liked it","4.25"
"2636606","32145015","liked it","4.00"
"2636606","30149743","liked it","4.20"
"2636606","30649349","liked it","4.34"
"2636606","34098967","really liked it","4.54"
"2636606","33590823","liked it","4.10"
"2636606","31926851","liked it","4.17"
"2636606","30269106","liked it","4.24"
"2636606","36357413","liked it","4.82"
"2636606","33413947","really liked it","4.11"
"2636606","34848496","liked it","4.16"
"2636606","32849250","liked it","3.80"
"2636606","36127293","liked it","4.00"
"2636606","30364301","really liked it","3.82"
"2636606","33785411","liked it","4.36"
"2636606","33099010","liked it","4.31"
"2636606","29954004","liked it","4.00"
"2636606","30268074","liked it","3.40"
"2636606","26192179","liked it","3.13"
"2636606","54319","liked it","3.64"
"2636606","7640262","liked it","3.90"
"2636606","31447879","liked it","3.86"
"2636606","36403057","liked it","4.50"
"2636606","34669556","liked it","3.98"
"2636606","31193426","liked it","3.90"
"2636606","36284711","really liked it","4.00"
"2636606","25741324","liked it","3.80"
"2636606","33985145","liked it","3.76"
"2636606","27414421","liked it","3.56"
"2636606","34228074","liked it","4.52"
"2636606","30364298","liked it","3.75"
"2636606","31371275","liked it","3.69"
"2636606","32955596","really liked it","3.94"
"2636606","28110870","liked it","4.49"
"2636606","34631173","it was ok","4.25"
"2636606","25855604","liked it","4.20"
"2636606","32202503","liked it","4.48"
"2636606","34079577","liked it","4.16"
"2636606","25027680","liked it","3.85"
"2636606","34219886","really liked it","3.00"
"2636606","31423644","liked it","4.43"
"2636606","35504431","liked it","4.22"
"2636606","36387418","liked it","4.17"
"2636606","32739712","liked it","3.91"
"2636606","32188541","really liked it","3.91"
"2636606","34050854","liked it","4.00"
"2636606","32776116","liked it","3.71"
"2636606","34069211","liked it","3.56"
"2636606","31450642","liked it","3.84"
"2636606","34068441","it was ok","4.27"
"2636606","32687320","liked it","3.76"
"2636606","34219873","liked it","4.52"
"2636606","34014199","liked it","4.34"
"2636606","17165898","liked it","3.47"
"2636606","34220821","liked it","4.00"
"2636606","34523230","really liked it","4.21"
"2636606","34051359","liked it","3.80"
"2636606","34543505","liked it","5.00"
"2636606","34543504","liked it","3.75"
"2636606","34051370","liked it","3.17"
"2636606","33590262","liked it","3.33"
"2636606","33987337","liked it","4.16"
"2636606","33673372","liked it","4.00"
"2636606","33673364","liked it","4.05"
"2636606","29749085","liked it","4.16"
"2636606","33918889","really liked it","3.85"
"2636606","29540876","liked it","3.74"
"2636606","33897630","liked it","3.60"
"2636606","34079582","liked it","4.14"
"2636606","33673416","liked it","3.50"
"2636606","34570463","liked it","4.04"
"2636606","34079578","liked it","4.20"
"2636606","31423411","liked it","4.21"
"2636606","32498122","liked it","3.95"
"2636606","35525589","liked it","4.57"
"2636606","26165457","liked it","3.62"
